names,scores,logfoldchanges,pvals,pvals_adj
Sox102F,6.044709,5.2363386,1.4967975858945885e-09,4.413241738218875e-08
FASN1,5.6622043,4.645187,1.494406075637629e-08,3.0575778807197655e-07
CG2233,5.6327925,7.721167,1.7731481582983174e-08,3.5458508019839973e-07
pigs,5.358218,1.9008704,8.404661573695342e-08,1.3651571727559434e-06
Yp3,5.2882676,7.1218963,1.2348033953565795e-07,1.8648577274464927e-06
Yp1,5.2532177,7.10339,1.4946459850481522e-07,2.211131486059153e-06
Yp2,5.2464676,6.716466,1.5504316993813968e-07,2.276731715014121e-06
Nplp2,5.120919,6.8114896,3.0404969688696566e-07,3.993286365550099e-06
bru1,5.066583,5.336919,4.0501994095847686e-07,5.165951458475188e-06
Pdfr,5.0584607,5.6029267,4.226547637060825e-07,5.365086545991564e-06
vir-1,5.0514874,4.0951405,4.383822488385169e-07,5.552422944916146e-06
ACC,4.7388225,2.7896252,2.1496356779115767e-06,2.2169965871836563e-05
bbg,4.652478,1.2408023,3.2796956151309276e-06,3.206768722460326e-05
teq,4.5454745,4.549547,5.481157787233177e-06,5.031664916792255e-05
Cad86C,4.443367,3.9955626,8.856185408449672e-06,7.628396067732786e-05
CaMKI,4.3446717,2.8263273,1.394840449226837e-05,0.00011456692606188232
ogre,4.3333225,3.891676,1.4687577866726389e-05,0.0001201403553872775
lncRNA:CR43650,4.2306585,2.9243405,2.330082190868304e-05,0.00017952685534482898
CG6337,4.2278395,3.6874094,2.3594582379113116e-05,0.00018143891899068723
wb,4.1829615,2.1311564,2.8773639854033883e-05,0.00021604660339458084
Cyt-b5-r,4.1742454,5.6696,2.9897556210665686e-05,0.0002236415882337295
Dif,4.1347446,1.9989095,3.553492054416912e-05,0.0002599470887969136
CG18067,4.092537,2.9251163,4.266792670291613e-05,0.0003053903135148466
Tl,3.9978843,3.560721,6.391116055623165e-05,0.00043812999730150526
CG33493,3.9885006,4.0646954,6.649220824456623e-05,0.00045348027885047356
Lsd-1,3.8284593,4.811672,0.00012894799329697318,0.0008158164377190855
18w,3.805241,3.1466098,0.00014166610126514648,0.0008862502263440363
Gbp2,3.770414,5.2425694,0.00016297692956646073,0.0010070911354188362
CG31689,3.7245712,2.1603754,0.00019564738043448615,0.0011859539229840635
Idgf6,3.7071764,2.587351,0.00020958301776481214,0.001259872536548444
dar1,3.693824,4.4260473,0.0002209066485180897,0.0013154145422053743
Ubx,3.4899428,5.2889776,0.0004831240442294453,0.0026676737511125022
CG32647,3.480967,4.77784,0.0004996069122856831,0.0027461128555813204
CR44391,3.4771097,3.3887591,0.0005068502926206888,0.0027840037812063923
Invadolysin,3.4402056,3.5881653,0.0005812723604564047,0.00315232625191306
Ndae1,3.4264824,0.8458259,0.0006114531695850225,0.003303839631179358
Wnt4,3.4186938,3.0614798,0.0006292251722793358,0.0033906588667374634
CG16758,3.4139833,5.0269427,0.0006402049690400789,0.003438185795269897
CG13917,3.4032645,1.2258301,0.0006658580460290195,0.003563469588899528
CG10433,3.3779323,3.9959216,0.0007303307072000696,0.0038699747660488376
CG1648,3.3438098,2.8069065,0.0008263635544996205,0.004315634862376955
svp,3.3227801,2.4739077,0.0008912515284715509,0.004609142894805116
CG13912,3.316957,3.9147823,0.0009100361918026586,0.004697132328506719
CG9691,3.2876933,4.893436,0.0010101180359999814,0.005163474276508576
CG31759,3.1601424,2.5873485,0.001576920904394936,0.007611105808416795
CG44014,3.1067705,3.419629,0.001891432176082333,0.008886604893411622
CG9451,3.0860374,2.1365376,0.0020284332914130713,0.009446635790729453
fra,3.0806966,2.4197516,0.0020651705691498547,0.009600871822350289
Ork1,3.0735753,1.4350984,0.0021151032157267487,0.0097986650139518
Cht4,3.0509136,4.5023513,0.002281462554486486,0.010459769856657801
CG32687,3.047761,2.4812403,0.0023055326503678753,0.010551888651108636
CG5958,3.0041065,3.346983,0.0026636205538927943,0.011981644456942993
CG3829,2.9913847,3.0882845,0.00277715305456163,0.0124346072134228
