,names,scores,logfoldchanges,pvals,pvals_adj
0,CG42235,44.58976,8.329698,0.0,0.0
1,28SrRNA-Psi:CR40596,43.398502,5.1016397,0.0,0.0
2,CG15408,43.338192,5.2794685,0.0,0.0
3,CG15406,43.210957,5.5465965,0.0,0.0
4,CG4928,43.09789,7.1952777,0.0,0.0
5,CG30016,42.288204,4.1324034,0.0,0.0
6,Fmo-2,42.241173,4.019129,0.0,0.0
7,CG7882,41.99461,5.329269,0.0,0.0
8,lncRNA:CR46194,41.919693,4.216584,0.0,0.0
9,CG32023,41.72635,4.3666387,0.0,0.0
10,tau,41.669434,3.8907576,0.0,0.0
11,NaPi-T,41.580444,4.0231724,0.0,0.0
12,CG31373,41.406628,3.2832396,0.0,0.0
13,CG3168,40.954334,6.689162,0.0,0.0
14,CG31663,40.871967,5.128573,0.0,0.0
15,CG17683,40.73436,3.2993016,0.0,0.0
16,chinmo,40.544014,5.510636,0.0,0.0
17,Ptx1,40.460064,4.1411195,0.0,0.0
18,PhKgamma,40.42245,3.9131744,0.0,0.0
19,Dic1,40.341476,3.6152775,0.0,0.0
20,Slc45-1,40.084972,5.6702476,0.0,0.0
21,CG9119,40.061684,3.9515288,0.0,0.0
22,CG14292,40.044228,2.9817538,0.0,0.0
23,CG11892,39.96501,3.9154415,0.0,0.0
24,CG12355,39.95466,3.5433283,0.0,0.0
25,CG15155,39.95034,4.793547,0.0,0.0
26,Eglp2,39.92172,4.610376,0.0,0.0
27,sima,39.808285,3.676762,0.0,0.0
28,CG43968,39.747665,3.5283456,0.0,0.0
29,CR43310,39.725384,4.6236014,0.0,0.0
30,Atpalpha,39.617676,4.0360065,0.0,0.0
31,CG32195,39.544044,3.9473255,0.0,0.0
32,Had1,39.526306,3.617987,0.0,0.0
33,wtrw,39.4955,5.4589615,0.0,0.0
34,CG14777,39.408566,3.2677574,0.0,0.0
35,lama,39.389984,4.724125,0.0,0.0
36,bol,39.37828,3.4921849,0.0,0.0
37,CG17752,39.274773,4.586495,0.0,0.0
38,Ugt302K1,39.21801,4.7481875,0.0,0.0
39,Irk1,39.169884,5.5777345,0.0,0.0
40,CG3285,39.165768,4.348558,0.0,0.0
41,Oda,39.11512,2.9605086,0.0,0.0
42,CG17734,39.109722,3.282934,0.0,0.0
43,Usp15-31,39.106495,3.2614577,0.0,0.0
44,CG7084,39.101685,5.066429,0.0,0.0
45,CG34426,39.040634,5.3395195,0.0,0.0
46,CG13321,39.039967,3.820432,0.0,0.0
47,MESK2,38.97419,2.6619925,0.0,0.0
48,Gprk2,38.971203,3.0749395,0.0,0.0
49,Gpdh1,38.881615,3.1416507,0.0,0.0
50,CG11334,38.879833,3.3938868,0.0,0.0
51,AGO3,38.80632,3.5002484,0.0,0.0
52,par-1,38.7915,3.4120972,0.0,0.0
53,CG10514,38.777718,3.6656518,0.0,0.0
54,IP3K1,38.773056,3.7832327,0.0,0.0
55,nemy,38.74484,4.063845,0.0,0.0
56,CG8620,38.718338,5.57387,0.0,0.0
57,Fas3,38.58493,3.4556892,0.0,0.0
58,Nadsyn,38.422398,2.8966386,0.0,0.0
59,rdgA,38.414112,3.325309,0.0,0.0
60,sturkopf,38.392864,3.5984526,0.0,0.0
61,CG6125,38.38788,4.188951,0.0,0.0
62,Nost,38.31491,3.200744,0.0,0.0
63,Bsg,38.22441,3.7700553,0.0,0.0
64,Pfk,38.21805,3.0187929,0.0,0.0
65,CG34417,38.120037,3.616693,0.0,0.0
66,Taldo,38.044624,3.1475697,0.0,0.0
67,CG2187,38.028572,4.6473927,0.0,0.0
68,CG9702,38.014256,3.6163602,0.0,0.0
69,MFS14,38.000343,3.4823713,0.0,0.0
70,bnl,37.98753,4.603373,0.0,0.0
71,tai,37.97767,2.9307935,0.0,0.0
72,Uhg1,37.95751,3.17869,0.0,0.0
73,14-3-3zeta,37.93548,2.2838347,0.0,0.0
74,sgg,37.88019,3.363831,0.0,0.0
75,CG8323,37.870743,3.3522305,0.0,0.0
76,Xrp1,37.86521,2.7360313,0.0,0.0
77,CG12825,37.785088,2.7373416,0.0,0.0
78,CG17751,37.776985,4.5712185,0.0,0.0
79,mfrn,37.773888,3.2531743,0.0,0.0
80,Snp,37.726532,3.8169074,0.0,0.0
81,CG9932,37.67457,3.567165,1.2960766010409e-310,1.2579845936200714e-308
82,UQCR-11,37.583427,2.7202308,4.009919868267005e-309,3.8451749676550714e-307
83,Mur18B,37.545544,3.0517166,1.6656563369679157e-308,1.5782093792771002e-306
84,CG3690,37.49955,3.569793,9.367753147523189e-308,8.771523211898477e-306
85,salt,37.489143,3.9937646,1.3841895043357401e-307,1.2810191005823437e-305
86,MED26,37.394154,2.4990602,4.8628647639262e-306,4.448682834033175e-304
87,kuz,37.382355,4.0906396,7.561539338754041e-306,6.838896772402661e-304
88,CG18324,37.379356,2.982817,8.459743734122158e-306,7.56529217751441e-304
89,CG31145,37.36269,3.187863,1.5776330698121552e-305,1.3951535114038825e-303
90,Ugt35E2,37.329597,4.209532,5.433969433173831e-305,4.7526332657835736e-303
91,CG8028,37.307632,5.2721133,1.2343019319562559e-304,1.0678053343956348e-302
92,tzn,37.29907,2.7632806,1.699168409290074e-304,1.4541592870472794e-302
93,CycG,37.276413,2.6001813,3.956951691641717e-304,3.3503594163591944e-302
94,CadN2,37.233772,3.3816183,1.9398273435101437e-303,1.6251669291576036e-301
95,CG17646,37.186954,3.2203462,1.1089859233682962e-302,9.19418642092528e-301
96,CG31272,37.169285,3.4694445,2.1402090788272542e-302,1.756074645194445e-300
97,numb,37.130424,4.5120087,9.074741528379707e-302,7.369986512691233e-300
98,Pvr,37.109978,3.0316262,1.9395334541268484e-301,1.559267349635918e-299
99,swi2,37.08457,3.6695135,4.981416365410143e-301,3.9647092852299325e-299
100,Dh31-R,37.05329,5.1615753,1.5896653947964393e-300,1.2526878096222632e-298
101,sls,36.989986,2.994017,1.658917816986156e-299,1.2944438142541977e-297
102,CG3655,36.97465,3.959071,2.926203417069343e-299,2.2611313588791166e-297
103,Hsp70Bb,36.97404,3.6649055,2.9930932460845895e-299,2.2905797255372353e-297
104,prage,36.971115,3.2544463,3.335263885233104e-299,2.5281300250066926e-297
105,Uro,36.96834,3.7447968,3.695948868951833e-299,2.7750997215082678e-297
106,CG7029,36.950798,2.8843799,7.071547071516825e-299,5.260041415159103e-297
107,CG32795,36.949203,3.0298204,7.501640327740923e-299,5.528292163749075e-297
